"expedia_id","site_id","scraped_url"
"22262850","BOOKING","https://www.booking.com/hotel/jp/mimarujing-du-ku-chuan-liu-jiao.en-gb.html?label=gen173nr-1DCAsodUIfbWltYXJ1amluZy1kdS1rdS1jaHVhbi1saXUtamlhb0gJWARoMYgBAZgBCbgBF8gBDNgBA-gBAfgBA4gCAagCA7gCjK7X6gXAAgE;sid=cf726c8566d059f406a55a59afc5463d;checkin=2019-08-29&checkout=2019-09-01&dist=0&group_adults=2&group_children=0&keep_landing=1&sb_price_type=total&type=total&selected_currency=JPY;"
"5250417","BOOKING","https://www.booking.com/hotel/jp/bant-inn-shizuoka.en-gb.html?label=gen173nr-1DCAsodUIRYmFudC1pbm4tc2hpenVva2FICVgEaFCIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Auit1-oFwAIB;sid=6756e0f4b112452567736ada0653876f;checkin=2019-08-29&checkout=2019-09-01&dist=0&group_adults=2&group_children=0&keep_landing=1&sb_price_type=total&type=total&selected_currency=JPY;"
"4756871","BOOKING","https://www.booking.com/hotel/jp/floral-inn-namba.en-gb.html?label=gen173nr-1DCAsodUIQZmxvcmFsLWlubi1uYW1iYUgJWARoQogBAZgBCbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCkbbX6gXAAgE;sid=727d3aea607759ae88f2234a25b65ee8;checkin=2019-10-14&checkout=2019-10-19&dist=0&group_adults=2&group_children=0&keep_landing=1&sb_price_type=total&type=total&selected_currency=JPY;"
"4292258","BOOKING","https://www.booking.com/hotel/jp/piena-kobe.en-gb.html?label=gen173nr-1DCAsodUIKcGllbmEta29iZUgJWARoc4gBAZgBCbgBF8gBDNgBA-gBAfgBA4gCAagCA7gCn7vX6gXAAgE;sid=6756e0f4b112452567736ada0653876f;checkin=2019-08-29&checkout=2019-09-01&dist=0&group_adults=2&group_children=0&keep_landing=1&sb_price_type=total&type=total&selected_currency=JPY;"
"12248631","BOOKING","https://www.booking.com/hotel/jp/koto-kyoto.en-gb.html?label=gen173nr-1DCAsodUIKa290by1reW90b0gJWARoUIgBAZgBCbgBF8gBDNgBA-gBAfgBA4gCAagCA7gC-avX6gXAAgE;sid=cf726c8566d059f406a55a59afc5463d;checkin=2019-08-29&checkout=2019-09-01&dist=0&group_adults=2&group_children=0&keep_landing=1&sb_price_type=total&type=total&selected_currency=JPY;"
"24937535","BOOKING_INT","https://www.booking.com/hotel/it/casale-rufo.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALiyefqBcACAQ&sid=f991225dded86647d95c808fc891ec02&all_sr_blocks=180453410_195078775_2_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-130061&dest_type=city&group_adults=2&group_children=0&hapos=85&highlighted_blocks=180453410_195078775_2_1_0&hpos=20&no_rooms=1&sr_order=popularity&srepoch=1566172412&srpvid=22dca7fe1d4a020f&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-130061;spdist=#hotelTmpl"
"30230512","BOOKING_INT","https://www.booking.com/hotel/it/le-pleiadi-san-felice-circeo.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaI0CiAEBmAExuAEXyAEU2AEB6AEB-AECiAIBqAIDuAL1yOfqBcACAQ&sid=98362813cc28c92d7851c9275be2b6f4&all_sr_blocks=188748607_119043619_0_17_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-130657&dest_type=city&group_adults=2&group_children=0&hapos=44&highlighted_blocks=188748607_119043619_0_17_0&hpos=29&no_rooms=1&sr_order=popularity&srepoch=1566172296&srpvid=a10da7c3ebed0020&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-130657;spdist=#hotelTmpl"
"13471843","BOOKING_INT","https://www.booking.com/hotel/it/alibrandi-palace.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuAKUyufqBcACAQ&sid=07467fb75c17d57d455e679843416bd9&all_sr_blocks=130051505_200326756_2_0_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-128527&dest_type=city&group_adults=2&group_children=0&hapos=34&highlighted_blocks=130051505_200326756_2_0_0&hpos=19&no_rooms=1&sr_order=popularity&srepoch=1566172457&srpvid=3458a8143cfa002f&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-128527;spdist=#hotelTmpl"
"36814025","BOOKING_INT","https://www.booking.com/hotel/it/circemed.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaI0CiAEBmAExuAEXyAEU2AEB6AEB-AECiAIBqAIDuAL1yOfqBcACAQ&sid=98362813cc28c92d7851c9275be2b6f4&all_sr_blocks=377050801_120451785_2_0_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-130657&dest_type=city&group_adults=2&group_children=0&hapos=40&highlighted_blocks=377050801_120451785_2_0_0&hpos=25&no_rooms=1&sr_order=popularity&srepoch=1566172296&srpvid=a10da7c3ebed0020&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-130657;spdist=#hotelTmpl"
"22749730","BOOKING_INT","https://www.booking.com/hotel/it/podere-delle-fanciulle.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKYCiAEBmAExuAEYyAEM2AEB6AEB-AECiAIBqAIEuAL7yefqBcACAQ&sid=e9b4bafa561595b5c44a096f7b591a9d&all_sr_blocks=39780404_168590030_0_2_0&checkin=2019-08-25&checkout=2019-08-26&dest_id=-124951&dest_type=city&hapos=16&highlighted_blocks=39780404_168590030_0_2_0&hpos=1&sr_order=popularity&srepoch=1566172426&srpvid=8c51a804caed0095&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"54086","BOOKING_INT","https://www.booking.com/hotel/it/della-baia.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuAKfyefqBcACAQ&sid=94ec417603337491e5366fa41c716642&all_sr_blocks=8410102_88437557_0_42_0&checkin=2019-08-19&checkout=2019-08-20&dest_id=-118131&dest_type=city&group_adults=2&group_children=0&hapos=34&highlighted_blocks=8410102_88437557_0_42_0&hpos=19&no_rooms=1&sr_order=popularity&srepoch=1566172341&srpvid=87a6a7da44c600b4&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-118131;spdist=#hotelTmpl"
"2692849","BOOKING_INT","https://www.booking.com/hotel/it/grazia.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALiyefqBcACAQ&sid=f991225dded86647d95c808fc891ec02&all_sr_blocks=1246901_95135910_0_42_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-130061&dest_type=city&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1246901_95135910_0_42_0&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1566172402&srpvid=dc57a7f8f0c50057&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"36875582","BOOKING_INT","https://www.booking.com/hotel/it/sunset-b-amp-b.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuAKUyufqBcACAQ&sid=07467fb75c17d57d455e679843416bd9&all_sr_blocks=326809102_115089739_2_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-128527&dest_type=city&group_adults=2&group_children=0&hapos=77&highlighted_blocks=326809102_115089739_2_1_0&hpos=12&no_rooms=1&sr_order=popularity&srepoch=1566172465&srpvid=5769a8188ed50240&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-128527;spdist=#hotelTmpl"
"35648207","BOOKING_INT","https://www.booking.com/hotel/it/b-and-b-appartamenti-lanfora.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALiyefqBcACAQ&sid=f991225dded86647d95c808fc891ec02&all_sr_blocks=107233606_138523184_2_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-130061&dest_type=city&group_adults=2&group_children=0&hapos=6&highlighted_blocks=107233606_138523184_2_1_0&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1566172402&srpvid=dc57a7f8f0c50057&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"6889297","BOOKING_INT","https://www.booking.com/hotel/it/giulivo-village.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuAKfyefqBcACAQ&sid=94ec417603337491e5366fa41c716642&all_sr_blocks=8679401_88159977_0_33_0&checkin=2019-08-19&checkout=2019-08-20&dest_id=-118131&dest_type=city&group_adults=2&group_children=0&hapos=31&highlighted_blocks=8679401_88159977_0_33_0&hpos=16&no_rooms=1&sr_order=popularity&srepoch=1566172341&srpvid=87a6a7da44c600b4&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-118131;spdist=#hotelTmpl"
"23927719","BOOKING_INT","https://www.booking.com/hotel/it/grand-helios.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuAKUyufqBcACAQ&sid=07467fb75c17d57d455e679843416bd9&all_sr_blocks=25722005_88164584_0_2_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-128527&dest_type=city&group_adults=2&group_children=0&hapos=58&highlighted_blocks=25722005_88164584_0_2_0&hpos=43&no_rooms=1&sr_order=popularity&srepoch=1566172457&srpvid=3458a8143cfa002f&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-128527;spdist=#hotelTmpl"
"6836820","BOOKING_INT","https://www.booking.com/hotel/it/villino-gregoraci.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuAKUyufqBcACAQ&sid=07467fb75c17d57d455e679843416bd9&all_sr_blocks=1467702_95139388_0_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-128527&dest_type=city&group_adults=2&group_children=0&hapos=6&highlighted_blocks=1467702_95139388_0_1_0&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1566172450&srpvid=a33ba811c40b0024&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"2314920","BOOKING_INT","https://www.booking.com/hotel/it/villa-irlanda-grand.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuAKfyefqBcACAQ&sid=94ec417603337491e5366fa41c716642&all_sr_blocks=1285102_129617395_0_41_0&checkin=2019-08-19&checkout=2019-08-20&dest_id=-118131&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=1285102_129617395_0_41_0&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1566172334&srpvid=b257a7d77a1f015e&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"12226107","BOOKING_INT","https://www.booking.com/hotel/it/podere-campofossato.html?label=gen173nr-1FCAEoggI46AdIM1gEaKYCiAEBmAExuAEYyAEM2AEB6AEB-AECiAIBqAIEuAL7yefqBcACAQ&sid=e9b4bafa561595b5c44a096f7b591a9d&all_sr_blocks=69624301_148810414_2_0_0&checkin=2019-08-25&checkout=2019-08-26&dest_id=-124951&dest_type=city&hapos=18&highlighted_blocks=69624301_148810414_2_0_0&hpos=18&sr_order=popularity&srepoch=1566172421&srpvid=1348a80237ce0065&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"35154811","BOOKING_INT","https://www.booking.com/hotel/it/globetrotter-formia.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALiyefqBcACAQ&sid=f991225dded86647d95c808fc891ec02&all_sr_blocks=181692403_143501447_2_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-130061&dest_type=city&group_adults=2&group_children=0&hapos=73&highlighted_blocks=181692403_143501447_2_1_0&hpos=58&no_rooms=1&sr_order=popularity&srepoch=1566172406&srpvid=ca72a7fbe1e10148&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-130061;spdist=#hotelTmpl"
"22646899","BOOKING_INT","https://www.booking.com/hotel/it/nena-al-borgo-castello.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALiyefqBcACAQ&sid=f991225dded86647d95c808fc891ec02&all_sr_blocks=65006610_127967625_0_33_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-130061&dest_type=city&group_adults=2&group_children=0&hapos=87&highlighted_blocks=65006610_127967625_0_33_0&hpos=22&no_rooms=1&sr_order=popularity&srepoch=1566172412&srpvid=22dca7fe1d4a020f&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-130061;spdist=#hotelTmpl"
"37163472","BOOKING_INT","https://www.booking.com/hotel/it/b-amp-b-virginia-monte-san-biagio.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaI0CiAEBmAExuAEXyAEU2AEB6AEB-AECiAIBqAIDuAL1yOfqBcACAQ&sid=98362813cc28c92d7851c9275be2b6f4&all_sr_blocks=392956202_201177062_2_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-130657&dest_type=city&group_adults=2&group_children=0&hapos=36&highlighted_blocks=392956202_201177062_2_1_0&hpos=21&no_rooms=1&sr_order=popularity&srepoch=1566172296&srpvid=a10da7c3ebed0020&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-130657;spdist=#hotelTmpl"
"37280273","BOOKING_INT","https://www.booking.com/hotel/it/b-amp-b-oasis.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALiyefqBcACAQ&sid=f991225dded86647d95c808fc891ec02&all_sr_blocks=457320004_180439571_2_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-130061&dest_type=city&group_adults=2&group_children=0&hapos=41&highlighted_blocks=457320004_180439571_2_1_0&hpos=26&no_rooms=1&sr_order=popularity&srepoch=1566172406&srpvid=ca72a7fbe1e10148&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-130061;spdist=#hotelTmpl"
"22646899","BOOKING_INT","https://www.booking.com/hotel/it/nena-al-borgo-castello.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuAL-yefqBcACAQ&sid=fa110bf7446ca79b5a2bbff15229e002&all_sr_blocks=65006608_127967625_0_33_0&checkin=2019-08-19&checkout=2019-08-20&dest_id=-130061&dest_type=city&group_adults=2&group_children=0&hapos=44&highlighted_blocks=65006608_127967625_0_33_0&hpos=29&no_rooms=1&sr_order=popularity&srepoch=1566172430&srpvid=b9c1a807c4840080&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-130061;spdist=#hotelTmpl"
"4660667","BOOKING_INT","https://www.booking.com/hotel/it/bw-leone-di-messapia.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALexufqBcACAQ&sid=b60fd3100851549ef6610f5de5028380&all_sr_blocks=33219518_121853076_2_2_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=907&dest_type=region&hapos=69&highlighted_blocks=33219518_121853076_2_2_0&hpos=54&nflt=class%3D4%3B&sr_order=popularity&srepoch=1566172032&srpvid=3be0a73facc6016e&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"19470714","BOOKING_INT","https://www.booking.com/hotel/it/dolce-vita-sorrento.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKYCiAEBmAExuAEYyAEM2AEB6AEB-AECiAIBqAIEuAK7yOfqBcACAQ&sid=9a67503e929455c00b38f36af7f81d7c&all_sr_blocks=32696202_159831903_0_2_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-110339&dest_type=city&hapos=885&highlighted_blocks=32696202_159831903_0_2_0&hpos=20&sr_order=popularity&srepoch=1566172355&srpvid=8283a7e14fe4021e&ucfs=1&from=searchresults ;highlight_room=;spdest=ci/-110339;spdist=#hotelTmpl"
"33297903","BOOKING_INT","https://www.booking.com/hotel/it/b-amp-b-l-39-ateneo.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALexufqBcACAQ&sid=b60fd3100851549ef6610f5de5028380&all_sr_blocks=256258510_183989245_2_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=907&dest_type=region&hapos=377&highlighted_blocks=256258510_183989245_2_1_0&hpos=12&nflt=class%3D0%3B&sr_order=popularity&srepoch=1566172091&srpvid=e573a75d66730057&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"16584540","BOOKING_INT","https://www.booking.com/hotel/it/relais-santa-caterina.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAExuAEYyAEO2AEB6AEB-AECiAIBqAIEuAKayefqBcACAQ&sid=6b63a84b2155f0fd348d94b623e184e6&all_sr_blocks=201031207_179869660_0_1_0&checkin=2019-08-25&checkout=2019-08-26&dest_id=-132645&dest_type=city&group_adults=2&group_children=0&hapos=16&highlighted_blocks=201031207_179869660_0_1_0&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1566172332&srpvid=9076a7d5f71c0063&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"2077343","BOOKING_INT","https://www.booking.com/hotel/it/hotel-terranobile.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALexufqBcACAQ&sid=b60fd3100851549ef6610f5de5028380&all_sr_blocks=8840709_88440314_2_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=907&dest_type=region&hapos=73&highlighted_blocks=8840709_88440314_2_1_0&hpos=8&nflt=class%3D4%3B&sr_order=popularity&srepoch=1566172044&srpvid=dcb7a74615230055&ucfs=1&from=searchresults ;highlight_room=;has_campaign_deals_getaway19_customer_label=1#hotelTmpl"
"10659875","BOOKING_INT","https://www.booking.com/hotel/it/miramare-gallipoli.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEXyAEP2AEB6AEB-AECiAIBqAIDuALexufqBcACAQ&sid=b60fd3100851549ef6610f5de5028380&all_sr_blocks=1724110_95142001_2_1_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=907&dest_type=region&hapos=28&highlighted_blocks=1724110_95142001_2_1_0&hpos=13&nflt=class%3D3%3B&sr_order=popularity&srepoch=1566172035&srpvid=a157a741b73f00b0&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"17460086","BOOKING_INT","https://www.booking.com/hotel/it/il-marrugio.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAExuAEYyAEO2AEB6AEB-AECiAIBqAIEuAKayefqBcACAQ&sid=6b63a84b2155f0fd348d94b623e184e6&all_sr_blocks=17638101_88921443_2_2_0&checkin=2019-08-25&checkout=2019-08-26&dest_id=-132645&dest_type=city&group_adults=2&group_children=0&hapos=7&highlighted_blocks=17638101_88921443_2_2_0&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1566172325&srpvid=5243a7d211fa00ef&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
"2542135","BOOKING_INT","https://www.booking.com/hotel/it/rondo.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKYCiAEBmAExuAEYyAEM2AEB6AEB-AECiAIBqAIEuAKMyefqBcACAQ&sid=53a8beb015616b75d8429653fe9779df&all_sr_blocks=1368802_95137957_0_2_0&checkin=2019-08-22&checkout=2019-08-23&dest_id=-111255&dest_type=city&group_adults=2&group_children=0&hapos=52&highlighted_blocks=1368802_95137957_0_2_0&hpos=37&no_rooms=1&sr_order=popularity&srepoch=1566172315&srpvid=6d52a7cd27cf0105&ucfs=1&from=searchresults ;highlight_room=#hotelTmpl"
